,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
1173,POINT (-124.73983370067543 52.54713853205427),52.5471,-124.7398,6651.900000000001,C51562,2023,2023-07-07 19:49:23,2023-11-06 22:50:18,Lightning,Cariboo Fire Centre
1174,POINT (-125.89871776068982 54.893405435465766),54.8934,-125.8987,7984.0,R21217,2023,2023-07-07 21:44:00,2024-01-25 16:21:27,Lightning,Northwest Fire Centre
1175,POINT (-119.96189875485233 52.14578911479427),52.1458,-119.9619,20745.0,K21384,2023,2023-07-07 22:08:23,2023-10-20 18:25:58,Lightning,Kamloops Fire Centre
1176,POINT (-120.03459875664312 52.10603910453521),52.106,-120.03460000000001,2407.14,K21379,2023,2023-07-07 22:08:58,2023-09-27 18:13:58,Lightning,Kamloops Fire Centre
1177,POINT (-122.93451650028925 52.8138387702874),52.8138,-122.9345,2784.7000000000003,C11290,2023,2023-07-07 22:23:17,2024-01-09 19:07:01,Lightning,Cariboo Fire Centre
1178,POINT (-123.4067496593752 53.04190571742097),53.041900000000005,-123.4067,1297.6000000000001,C11243,2023,2023-07-07 22:28:11,2023-08-05 23:08:30,Lightning,Cariboo Fire Centre
1179,POINT (-126.10098423475517 53.461605378799085),53.461600000000004,-126.101,2779.0,R11388,2023,2023-07-07 22:39:00,2024-01-25 16:20:46,Lightning,Northwest Fire Centre
1180,POINT (-124.20509993770138 53.45413862698694),53.454100000000004,-124.2051,1144.3,G41560,2023,2023-07-07 23:00:00,2024-08-30 22:20:53,Lightning,Prince George Fire Centre
1181,POINT (-124.15226697825337 53.59103863758322),53.591,-124.15230000000001,44641.700000000004,G41307,2023,2023-07-07 23:00:00,2024-08-30 22:20:27,Lightning,Prince George Fire Centre
1182,POINT (-123.64925021180517 54.421855727114995),54.4219,-123.64920000000001,47888.3,G51279,2023,2023-07-07 23:00:00,2024-08-28 21:10:29,Lightning,Prince George Fire Centre
1183,POINT (-123.87085037658697 54.748505705372686),54.7485,-123.8708,5219.6,G51344,2023,2023-07-07 23:00:00,2024-08-28 21:10:32,Lightning,Prince George Fire Centre
1184,POINT (-124.42565009161709 53.775538607436424),53.7755,-124.4256,4767.8,G41511,2023,2023-07-07 23:00:00,2024-08-30 22:20:01,Lightning,Prince George Fire Centre
1185,POINT (-125.85335021920986 53.519172412468016),53.519200000000005,-125.8533,24810.8,R11282,2023,2023-07-07 23:12:00,2024-01-25 16:20:17,Lightning,Northwest Fire Centre
1186,POINT (-126.33086711603026 53.04250533924122),53.042500000000004,-126.3309,40580.0,VA1381,2023,2023-07-08 00:28:00,2023-11-10 20:05:55,Lightning,Costal Fire Centre
1187,POINT (-125.46748449571625 54.40040548415146),54.400400000000005,-125.4675,6890.0,R11277,2023,2023-07-08 00:48:00,2024-01-25 16:18:57,Lightning,Northwest Fire Centre
1188,POINT (-125.29296744545084 54.342055506052866),54.3421,-125.293,1400.0,R11378,2023,2023-07-08 00:56:00,2023-12-12 18:21:55,Lightning,Northwest Fire Centre
1189,POINT (-126.38396748619326 54.01512235278547),54.015100000000004,-126.384,6758.0,R21234,2023,2023-07-08 01:01:00,2023-12-12 18:21:45,Lightning,Northwest Fire Centre
1190,POINT (-126.41530064443049 54.41015535608677),54.4102,-126.4153,2061.0,R21250,2023,2023-07-08 01:27:00,2024-01-25 16:21:53,Lightning,Northwest Fire Centre
1191,POINT (-125.64346745937223 54.235172456205845),54.235200000000006,-125.6435,8044.0,R11244,2023,2023-07-08 01:34:00,2023-12-12 18:21:05,Lightning,Northwest Fire Centre
1192,POINT (-123.44926590256412 50.69783862960254),50.6978,-123.44930000000001,1915.0,V31300,2023,2023-07-08 05:56:22,2023-11-30 23:32:41,Lightning,Costal Fire Centre
1193,POINT (-115.73684748329892 50.62978952975951),50.6298,-115.7368,2946.6,N21453,2023,2023-07-08 16:41:26,2023-10-24 20:02:22,Lightning,Southeast Fire Centre
1194,POINT (-123.84718388914737 53.481505674498),53.481500000000004,-123.8472,2420.0,G11293,2023,2023-07-08 17:18:37,2023-11-14 17:10:13,Lightning,Prince George Fire Centre
1195,POINT (-125.7293837611134 52.28442239788341),52.284400000000005,-125.72940000000001,4616.400000000001,VA1456,2023,2023-07-08 19:39:00,2023-11-10 20:09:31,Lightning,Costal Fire Centre
1196,POINT (-126.59936752878306 54.04542232434616),54.0454,-126.5994,4762.24,R21377,2023,2023-07-08 22:02:00,2024-01-25 16:25:10,Lightning,Northwest Fire Centre
1197,POINT (-125.24528414359489 53.56818849360421),53.568200000000004,-125.2453,34853.6,G41502,2023,2023-07-08 23:00:00,2024-08-30 22:20:15,Lightning,Prince George Fire Centre
1198,POINT (-121.64001539698086 49.98150581339841),49.981500000000004,-121.64,17405.9,V11337,2023,2023-07-08 23:28:00,2023-12-06 23:23:15,Lightning,Costal Fire Centre
1199,POINT (-126.64940008235253 52.81905529315932),52.819100000000006,-126.6494,2337.6,VA1335,2023,2023-07-09 00:00:00,2023-11-10 20:06:51,Lightning,Costal Fire Centre
1200,POINT (-126.73401820325957 55.63860533310767),55.638600000000004,-126.73400000000001,3030.0,R31391,2023,2023-07-09 00:10:00,2023-11-21 23:34:11,Unknown,Northwest Fire Centre
1201,POINT (-126.17370035279812 53.75035537592906),53.7504,-126.17370000000001,12142.0,R11387,2023,2023-07-09 01:33:00,2024-02-05 16:21:15,Lightning,Northwest Fire Centre
1202,POINT (-125.17535058434724 54.735338529761385),54.7353,-125.17530000000001,1503.4,G51474,2023,2023-07-09 04:20:00,2024-08-28 21:10:16,Lightning,Prince George Fire Centre
1203,POINT (-125.03593381324937 52.740038499358626),52.74,-125.03590000000001,1282.0,C11405,2023,2023-07-09 19:26:16,2023-08-29 00:48:53,Lightning,Cariboo Fire Centre
1204,POINT (-125.73979968745128 52.06155539099526),52.061600000000006,-125.7398,1708.0,VA1462,2023,2023-07-09 20:00:00,2023-11-10 20:09:42,Lightning,Costal Fire Centre
1205,POINT (-123.71263375234801 53.16607268207092),53.1661,-123.71260000000001,7864.0,C11499,2023,2023-07-09 22:22:19,2023-09-05 21:15:56,Lightning,Cariboo Fire Centre
1206,POINT (-123.66863379186441 53.29600569210723),53.296,-123.66860000000001,4422.1,C11437,2023,2023-07-09 22:54:26,2023-09-05 21:15:46,Lightning,Cariboo Fire Centre
1207,POINT (-124.90645196602237 53.225204529889034),53.2252,-124.9064,4878.8,G41493,2023,2023-07-09 23:00:00,2024-08-30 22:20:08,Lightning,Prince George Fire Centre
1208,POINT (-126.69080045127998 53.80763830787705),53.8076,-126.69080000000001,4360.0,R21673,2023,2023-07-09 23:12:00,2024-01-25 16:25:35,Lightning,Northwest Fire Centre
